Train Step:1100, Train Loss:1.7425, Val Acc:0.1027
Train Step:1110, Train Loss:2.0795, Val Acc:0.1029
Train Step:1120, Train Loss:2.2054, Val Acc:0.1029
Train Step:1130, Train Loss:2.1185, Val Acc:0.1029
Train Step:1140, Train Loss:1.8784, Val Acc:0.1031
Train Step:1150, Train Loss:1.6869, Val Acc:0.1032
Train Step:1160, Train Loss:1.6530, Val Acc:0.1031
Train Step:1170, Train Loss:2.4286, Val Acc:0.1032
Train Step:1180, Train Loss:1.7418, Val Acc:0.1032
Train Step:1190, Train Loss:1.5983, Val Acc:0.1033
Train Step:1200, Train Loss:2.0642, Val Acc:0.1033
Train Step:1210, Train Loss:1.7973, Val Acc:0.1032
Train Step:1220, Train Loss:1.7480, Val Acc:0.1032
Train Step:1230, Train Loss:1.9871, Val Acc:0.1033
Train Step:1240, Train Loss:1.6633, Val Acc:0.1032
Train Step:1250, Train Loss:1.9257, Val Acc:0.1033
Train Step:1260, Train Loss:2.0126, Val Acc:0.1034
Train Step:1270, Train Loss:2.1398, Val Acc:0.1034
Train Step:1280, Train Loss:1.6260, Val Acc:0.1034
Train Step:1290, Train Loss:2.0556, Val Acc:0.1033
Train Step:1300, Train Loss:1.7650, Val Acc:0.1033
Train Step:1310, Train Loss:2.0499, Val Acc:0.1033
Train Step:1320, Train Loss:1.9099, Val Acc:0.1033
Train Step:1330, Train Loss:1.9692, Val Acc:0.1033
Train Step:1340, Train Loss:2.0131, Val Acc:0.1034
Train Step:1350, Train Loss:2.0791, Val Acc:0.1034
Train Step:1360, Train Loss:1.9799, Val Acc:0.1034
Train Step:1370, Train Loss:1.7926, Val Acc:0.1037
Train Step:1380, Train Loss:1.9139, Val Acc:0.1038
Train Step:1390, Train Loss:1.9029, Val Acc:0.1041
Train Step:1400, Train Loss:1.8059, Val Acc:0.1041
Train Step:1410, Train Loss:1.6943, Val Acc:0.1040
Train Step:1420, Train Loss:1.8866, Val Acc:0.1040
Train Step:1430, Train Loss:1.7860, Val Acc:0.1040
Train Step:1440, Train Loss:1.6129, Val Acc:0.1041
Train Step:1450, Train Loss:1.9810, Val Acc:0.1041
Train Step:1460, Train Loss:1.5465, Val Acc:0.1040
Train Step:1470, Train Loss:1.6291, Val Acc:0.1041
Train Step:1480, Train Loss:1.5420, Val Acc:0.1043
Train Step:1490, Train Loss:1.9189, Val Acc:0.1041
Train Step:1500, Train Loss:1.7348, Val Acc:0.1043
Train Step:1510, Train Loss:1.6506, Val Acc:0.1043
Train Step:1520, Train Loss:1.7206, Val Acc:0.1045
Train Step:1530, Train Loss:1.6290, Val Acc:0.1043
Train Step:1540, Train Loss:1.8390, Val Acc:0.1043
Train Step:1550, Train Loss:2.1160, Val Acc:0.1043
Train Step:1560, Train Loss:1.7313, Val Acc:0.1047
Train Step:1570, Train Loss:1.6283, Val Acc:0.1050
Train Step:1580, Train Loss:1.8745, Val Acc:0.1052
Train Step:1590, Train Loss:1.6943, Val Acc:0.1054
Train Step:1600, Train Loss:1.9045, Val Acc:0.1055
Train Step:1610, Train Loss:1.6894, Val Acc:0.1058
Train Step:1620, Train Loss:1.8483, Val Acc:0.1057
Train Step:1630, Train Loss:1.7690, Val Acc:0.1053
Train Step:1640, Train Loss:1.9318, Val Acc:0.1053
Train Step:1650, Train Loss:1.7788, Val Acc:0.1054
Train Step:1660, Train Loss:1.3036, Val Acc:0.1056
Train Step:1670, Train Loss:1.8666, Val Acc:0.1055
Train Step:1680, Train Loss:1.8538, Val Acc:0.1056
Train Step:1690, Train Loss:1.7575, Val Acc:0.1053
Train Step:1700, Train Loss:2.1154, Val Acc:0.1051
Train Step:1710, Train Loss:1.5407, Val Acc:0.1051
Train Step:1720, Train Loss:1.6492, Val Acc:0.1047
Train Step:1730, Train Loss:1.7105, Val Acc:0.1048
Train Step:1740, Train Loss:1.5746, Val Acc:0.1049
Train Step:1750, Train Loss:1.8343, Val Acc:0.1049
Train Step:1760, Train Loss:1.7224, Val Acc:0.1050
Train Step:1770, Train Loss:1.7180, Val Acc:0.1050
Train Step:1780, Train Loss:2.0713, Val Acc:0.1050
Train Step:1790, Train Loss:1.6394, Val Acc:0.1050
Train Step:1800, Train Loss:1.5064, Val Acc:0.1052
Train Step:1810, Train Loss:1.9803, Val Acc:0.1050
Train Step:1820, Train Loss:1.8107, Val Acc:0.1049
Train Step:1830, Train Loss:1.8631, Val Acc:0.1049
Train Step:1840, Train Loss:1.5489, Val Acc:0.1051
Train Step:1850, Train Loss:1.7333, Val Acc:0.1051
Train Step:1860, Train Loss:1.3381, Val Acc:0.1052
Train Step:1870, Train Loss:1.8077, Val Acc:0.1052
Train Step:1880, Train Loss:1.5873, Val Acc:0.1052
Train Step:1890, Train Loss:1.9323, Val Acc:0.1052
Train Step:1900, Train Loss:1.4200, Val Acc:0.1055
Train Step:1910, Train Loss:1.9837, Val Acc:0.1054
Train Step:1920, Train Loss:1.6150, Val Acc:0.1056
Train Step:1930, Train Loss:1.8024, Val Acc:0.1057
Train Step:1940, Train Loss:1.9489, Val Acc:0.1060
Train Step:1950, Train Loss:1.9507, Val Acc:0.1059
Train Step:1960, Train Loss:2.0185, Val Acc:0.1061
Train Step:1970, Train Loss:1.9218, Val Acc:0.1060
Train Step:1980, Train Loss:1.8675, Val Acc:0.1063
Train Step:1990, Train Loss:1.5279, Val Acc:0.1068
Train Step:2000, Train Loss:1.5249, Val Acc:0.1069
Train Step:2010, Train Loss:1.5884, Val Acc:0.1069
Train Step:2020, Train Loss:2.3570, Val Acc:0.1068
Train Step:2030, Train Loss:1.6874, Val Acc:0.1068
Train Step:2040, Train Loss:1.3405, Val Acc:0.1073
Train Step:2050, Train Loss:2.0055, Val Acc:0.1074
Train Step:2060, Train Loss:1.8612, Val Acc:0.1069
Train Step:2070, Train Loss:1.7745, Val Acc:0.1067
Train Step:2080, Train Loss:1.6313, Val Acc:0.1066
Train Step:2090, Train Loss:1.5951, Val Acc:0.1067
Train Step:2100, Train Loss:1.3827, Val Acc:0.1067
Train Step:2110, Train Loss:1.6219, Val Acc:0.1065
Train Step:2120, Train Loss:1.6938, Val Acc:0.1060
Train Step:2130, Train Loss:1.7379, Val Acc:0.1060
Train Step:2140, Train Loss:1.7494, Val Acc:0.1061
Train Step:2150, Train Loss:1.6528, Val Acc:0.1062
Train Step:2160, Train Loss:1.4674, Val Acc:0.1064
Train Step:2170, Train Loss:1.4556, Val Acc:0.1067
Train Step:2180, Train Loss:1.5571, Val Acc:0.1068
Train Step:2190, Train Loss:1.3991, Val Acc:0.1069
Train Step:2200, Train Loss:1.9766, Val Acc:0.1071
Train Step:2210, Train Loss:1.6787, Val Acc:0.1073
Train Step:2220, Train Loss:1.9082, Val Acc:0.1074
Train Step:2230, Train Loss:1.3693, Val Acc:0.1068
Train Step:2240, Train Loss:1.5960, Val Acc:0.1067
